2025-02-27 16:03:15,458 - INFO - Запрос 78: {'lead_id': '31355633'}
2025-02-27 16:03:15,458 - INFO - Ответ 78: 200 {"status":true,"response":{"time":1740661395}}
2025-02-27 16:03:15,729 - INFO - Запрос 79: {'lead_id': '31355631'}
2025-02-27 16:03:15,729 - INFO - Ответ 79: 200 {"status":true,"response":{"time":1740661395}}
2025-02-27 16:03:16,004 - INFO - Запрос 80: {'lead_id': '31355521'}
2025-02-27 16:03:16,004 - INFO - Ответ 80: 200 {"status":true,"response":{"time":1740661395}}
2025-02-27 16:03:16,270 - INFO - Запрос 81: {'lead_id': '31355405'}
2025-02-27 16:03:16,270 - INFO - Ответ 81: 200 {"status":true,"response":{"time":1740661396}}
2025-02-27 16:03:16,538 - INFO - Запрос 82: {'lead_id': '31355177'}
2025-02-27 16:03:16,538 - INFO - Ответ 82: 200 {"status":true,"response":{"time":1740661396}}
2025-02-27 16:03:16,805 - INFO - Запрос 83: {'lead_id': '31355111'}
2025-02-27 16:03:16,805 - INFO - Ответ 83: 200 {"status":true,"response":{"time":1740661396}}
2025-02-27 16:03:17,078 - INFO - Запрос 84: {'lead_id': '31355091'}
2025-02-27 16:03:17,079 - INFO - Ответ 84: 200 {"status":true,"response":{"time":1740661397}}
2025-02-27 16:03:17,343 - INFO - Запрос 85: {'lead_id': '31355041'}
2025-02-27 16:03:17,343 - INFO - Ответ 85: 200 {"status":true,"response":{"time":1740661397}}
2025-02-27 16:03:17,611 - INFO - Запрос 86: {'lead_id': '31354827'}
2025-02-27 16:03:17,611 - INFO - Ответ 86: 200 {"status":true,"response":{"time":1740661397}}
2025-02-27 16:03:17,885 - INFO - Запрос 87: {'lead_id': '31354651'}
2025-02-27 16:03:17,885 - INFO - Ответ 87: 200 {"status":true,"response":{"time":1740661397}}
2025-02-27 16:03:18,156 - INFO - Запрос 88: {'lead_id': '31353719'}
2025-02-27 16:03:18,156 - INFO - Ответ 88: 200 {"status":true,"response":{"time":1740661398}}
2025-02-27 16:03:18,423 - INFO - Запрос 89: {'lead_id': '31353551'}
2025-02-27 16:03:18,424 - INFO - Ответ 89: 200 {"status":true,"response":{"time":1740661398}}
2025-02-27 16:03:18,687 - INFO - Запрос 90: {'lead_id': '31353521'}
2025-02-27 16:03:18,687 - INFO - Ответ 90: 200 {"status":true,"response":{"time":1740661398}}
2025-02-27 16:03:18,952 - INFO - Запрос 91: {'lead_id': '31353513'}
2025-02-27 16:03:18,952 - INFO - Ответ 91: 200 {"status":true,"response":{"time":1740661398}}
2025-02-27 16:03:19,217 - INFO - Запрос 92: {'lead_id': '31353479'}
2025-02-27 16:03:19,217 - INFO - Ответ 92: 200 {"status":true,"response":{"time":1740661399}}
2025-02-27 16:03:19,488 - INFO - Запрос 93: {'lead_id': '31353475'}
2025-02-27 16:03:19,488 - INFO - Ответ 93: 200 {"status":true,"response":{"time":1740661399}}
2025-02-27 16:03:19,763 - INFO - Запрос 94: {'lead_id': '31353473'}
2025-02-27 16:03:19,763 - INFO - Ответ 94: 200 {"status":true,"response":{"time":1740661399}}
2025-02-27 16:03:25,036 - INFO - Запрос 95: {'lead_id': '31353471'}
2025-02-27 16:03:25,037 - INFO - Ответ 95: 200 {"status":true,"response":{"time":1740661405}}
2025-02-27 16:03:25,305 - INFO - Запрос 96: {'lead_id': '31353469'}
2025-02-27 16:03:25,305 - INFO - Ответ 96: 200 {"status":true,"response":{"time":1740661405}}
2025-02-27 16:03:30,604 - INFO - Запрос 97: {'lead_id': '31353465'}
2025-02-27 16:03:30,604 - INFO - Ответ 97: 200 {"status":true,"response":{"time":1740661410}}
2025-02-27 16:03:30,875 - INFO - Запрос 98: {'lead_id': '31353463'}
2025-02-27 16:03:30,875 - INFO - Ответ 98: 200 {"status":true,"response":{"time":1740661410}}
2025-02-27 16:03:31,143 - INFO - Запрос 99: {'lead_id': '31353461'}
2025-02-27 16:03:31,143 - INFO - Ответ 99: 200 {"status":true,"response":{"time":1740661411}}
2025-02-27 16:03:31,408 - INFO - Запрос 100: {'lead_id': '31353161'}
2025-02-27 16:03:31,408 - INFO - Ответ 100: 200 {"status":true,"response":{"time":1740661411}}
2025-02-27 16:03:31,686 - INFO - Запрос 101: {'lead_id': '31353147'}
2025-02-27 16:03:31,686 - INFO - Ответ 101: 200 {"status":true,"response":{"time":1740661411}}
2025-02-27 16:03:31,951 - INFO - Запрос 102: {'lead_id': '31353085'}
